Day;Month;Year;SolarHours;EnergyProduction
1;12;2020;1,95;
2;12;2020;0;
3;12;2020;0;
4;12;2020;0;
5;12;2020;0;
6;12;2020;0;
7;12;2020;0;
8;12;2020;0;
9;12;2020;0;
10;12;2020;0;
11;12;2020;0;
12;12;2020;0;
13;12;2020;0;
14;12;2020;0;
15;12;2020;0;
16;12;2020;0;
17;12;2020;0;
18;12;2020;0;
19;12;2020;0,04;
20;12;2020;0;
21;12;2020;0;
22;12;2020;0;
23;12;2020;1,58;
24;12;2020;3,56;
25;12;2020;4,41;
26;12;2020;0;
27;12;2020;0;
28;12;2020;0;
29;12;2020;0;
30;12;2020;0;
31;12;2020;0;
